Id,Title,Severity,Endpoint,NormalizedEndpoint,SourceTool,CweId,WascId,AlertRef,Description,Recommendation
"1","Content Security Policy (CSP) Header Not Set","Medium","http://host.docker.internal:3000","http://host.docker.internal","ZAP","693","15","10038-1","<p>Content Security Policy (CSP) is an added layer of security that helps to detect and mitigate certain types of attacks, including Cross Site Scripting (XSS) and data injection attacks. These attacks are used for everything from data theft to site defacement or distribution of malware. CSP provides a set of standard HTTP headers that allow website owners to declare approved sources of content that browsers should be allowed to load on that page — covered types are JavaScript, CSS, HTML frames, fonts, images and embeddable objects such as Java applets, ActiveX, audio and video files.</p>","<p>Ensure that your web server, application server, load balancer, etc. is configured to set the Content-Security-Policy header.</p>"
"2","Content Security Policy (CSP) Header Not Set","Medium","http://host.docker.internal:3000/ftp","http://host.docker.internal:3000/ftp","ZAP","693","15","10038-1","<p>Content Security Policy (CSP) is an added layer of security that helps to detect and mitigate certain types of attacks, including Cross Site Scripting (XSS) and data injection attacks. These attacks are used for everything from data theft to site defacement or distribution of malware. CSP provides a set of standard HTTP headers that allow website owners to declare approved sources of content that browsers should be allowed to load on that page — covered types are JavaScript, CSS, HTML frames, fonts, images and embeddable objects such as Java applets, ActiveX, audio and video files.</p>","<p>Ensure that your web server, application server, load balancer, etc. is configured to set the Content-Security-Policy header.</p>"
"3","Content Security Policy (CSP) Header Not Set","Medium","http://host.docker.internal:3000/ftp/eastere.gg","http://host.docker.internal:3000/ftp/eastere.gg","ZAP","693","15","10038-1","<p>Content Security Policy (CSP) is an added layer of security that helps to detect and mitigate certain types of attacks, including Cross Site Scripting (XSS) and data injection attacks. These attacks are used for everything from data theft to site defacement or distribution of malware. CSP provides a set of standard HTTP headers that allow website owners to declare approved sources of content that browsers should be allowed to load on that page — covered types are JavaScript, CSS, HTML frames, fonts, images and embeddable objects such as Java applets, ActiveX, audio and video files.</p>","<p>Ensure that your web server, application server, load balancer, etc. is configured to set the Content-Security-Policy header.</p>"
"4","Content Security Policy (CSP) Header Not Set","Medium","http://host.docker.internal:3000/ftp/package.json.bak","http://host.docker.internal:3000/ftp/package.json.bak","ZAP","693","15","10038-1","<p>Content Security Policy (CSP) is an added layer of security that helps to detect and mitigate certain types of attacks, including Cross Site Scripting (XSS) and data injection attacks. These attacks are used for everything from data theft to site defacement or distribution of malware. CSP provides a set of standard HTTP headers that allow website owners to declare approved sources of content that browsers should be allowed to load on that page — covered types are JavaScript, CSS, HTML frames, fonts, images and embeddable objects such as Java applets, ActiveX, audio and video files.</p>","<p>Ensure that your web server, application server, load balancer, etc. is configured to set the Content-Security-Policy header.</p>"
"5","Content Security Policy (CSP) Header Not Set","Medium","http://host.docker.internal:3000/sitemap.xml","http://host.docker.internal:3000/sitemap.xml","ZAP","693","15","10038-1","<p>Content Security Policy (CSP) is an added layer of security that helps to detect and mitigate certain types of attacks, including Cross Site Scripting (XSS) and data injection attacks. These attacks are used for everything from data theft to site defacement or distribution of malware. CSP provides a set of standard HTTP headers that allow website owners to declare approved sources of content that browsers should be allowed to load on that page — covered types are JavaScript, CSS, HTML frames, fonts, images and embeddable objects such as Java applets, ActiveX, audio and video files.</p>","<p>Ensure that your web server, application server, load balancer, etc. is configured to set the Content-Security-Policy header.</p>"
"6","Cross-Domain Misconfiguration","Medium","http://host.docker.internal:3000/assets/public/favicon_js.ico","[internal-path]","ZAP","264","14","10098","<p>Web browser data loading may be possible, due to a Cross Origin Resource Sharing (CORS) misconfiguration on the web server.</p>","<p>Ensure that sensitive data is not available in an unauthenticated manner (using IP address white-listing, for instance).</p><p>Configure the ""Access-Control-Allow-Origin"" HTTP header to a more restrictive set of domains, or remove all CORS headers entirely, to allow the web browser to enforce the Same Origin Policy (SOP) in a more restrictive manner.</p>"
"7","Cross-Domain Misconfiguration","Medium","http://host.docker.internal:3000/chunk-T3PSKZ45.js","http://host.docker.internal:3000/chunk-T3PSKZ45.js","ZAP","264","14","10098","<p>Web browser data loading may be possible, due to a Cross Origin Resource Sharing (CORS) misconfiguration on the web server.</p>","<p>Ensure that sensitive data is not available in an unauthenticated manner (using IP address white-listing, for instance).</p><p>Configure the ""Access-Control-Allow-Origin"" HTTP header to a more restrictive set of domains, or remove all CORS headers entirely, to allow the web browser to enforce the Same Origin Policy (SOP) in a more restrictive manner.</p>"
"8","Cross-Domain Misconfiguration","Medium","http://host.docker.internal:3000/chunk-TWZW5B45.js","http://host.docker.internal:3000/chunk-TWZW5B45.js","ZAP","264","14","10098","<p>Web browser data loading may be possible, due to a Cross Origin Resource Sharing (CORS) misconfiguration on the web server.</p>","<p>Ensure that sensitive data is not available in an unauthenticated manner (using IP address white-listing, for instance).</p><p>Configure the ""Access-Control-Allow-Origin"" HTTP header to a more restrictive set of domains, or remove all CORS headers entirely, to allow the web browser to enforce the Same Origin Policy (SOP) in a more restrictive manner.</p>"
"9","Cross-Domain Misconfiguration","Medium","http://host.docker.internal:3000/robots.txt","http://host.docker.internal:3000/robots.txt","ZAP","264","14","10098","<p>Web browser data loading may be possible, due to a Cross Origin Resource Sharing (CORS) misconfiguration on the web server.</p>","<p>Ensure that sensitive data is not available in an unauthenticated manner (using IP address white-listing, for instance).</p><p>Configure the ""Access-Control-Allow-Origin"" HTTP header to a more restrictive set of domains, or remove all CORS headers entirely, to allow the web browser to enforce the Same Origin Policy (SOP) in a more restrictive manner.</p>"
"10","Timestamp Disclosure - Unix","Low","http://host.docker.internal:3000","http://host.docker.internal","ZAP","497","13","10096","<p>A timestamp was disclosed by the application/web server. - Unix</p>","<p>Manually confirm that the timestamp data is not sensitive, and that the data cannot be aggregated to disclose exploitable patterns.</p>"
